PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;Throughput: CellThroughput_DL_QCI_1;Throughput: CellThroughput_UL_QCI_1;Throughput: UserThroughput_DL_QCI_1;Throughput: UserThroughput_DL_QCI_5;Throughput: UserThroughput_DL_QCI_9;Throughput: UserThroughput_UL_QCI_1;Throughput: UserThroughput_UL_QCI_5;Throughput: UserThroughput_UL_QCI_9;PDCD_SDU_QCI_1: PDCD_SDU_DL_QCI_1;PDCD_SDU_QCI_1: PDCD_SDU_UL_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_QCI_1;E-RAB_Success_Ratio: ERAB_Attempt_QCI_1;E-RAB_Success_Ratio: ERAB_Success_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_nonGBR;E-RAB_Drop_Ratio: ERAB_Drop_Ratio_QCI_1;E-RAB_Drop_Ratio: ERAB_ReleaseReq_QCI_1;Pre-emption_Ratio: Pre_emption_Ratio;SRVCC: SRVCC_Failure_Ratio;SRVCC: SRVCC_HO_Prep;SRVCC: SRVCC_HO_Attempt;SRVCC: SRVCC_HO_Success
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;10.00;8.00;149.08;1639.56;7391.21;147.53;34.20;181.01;578;456;;0;0;99.78;;;;;0;0;0
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;11.00;8.00;288.90;3350.62;10749.16;107.68;760.89;179.08;15484;10932;100.00;1;1;100.00;;;;;0;0;0
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;7.00;12.00;;1935.37;9320.08;460.11;110.03;864.33;758;1139;100.00;3;3;100.00;;;;;0;0;0
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;0.00;0.00;;;16504.00;;;629.28;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;11.00;12.00;228.00;3586.64;11379.77;25.60;70.57;180.76;3877;3635;100.00;4;4;99.63;;;;100.00;2;2;2
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;10.00;9.00;137.60;1629.76;19234.28;67.23;54.18;651.53;4998;4209;100.00;2;2;99.22;;;;;0;0;0
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;9.00;3.00;376.00;8313.33;2093.67;43.57;117.12;394.22;58;7;;0;0;100.00;;;;;0;0;0
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;11.00;9.00;476.17;3452.75;8982.58;69.68;330.10;251.81;3640;3235;100.00;1;1;100.00;;;;;0;0;0
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;10.00;7.00;602.67;4458.73;16343.52;113.81;504.29;1206.24;982;628;100.00;2;2;99.49;;;;;0;0;0
04.22.2020 11:45:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;0.00;0.00;;;528.24;;;8.33;0;0;;0;0;100.00;;;;;0;0;0
